# omega_M, omega_L, omega_K
2.822299999999999809e-01 7.307299999999999907e-01 1.000000000000000000e+00
2.822299999999999809e-01 7.307299999999999907e-01 3.000000000000000000e+00
2.822299999999999809e-01 7.307299999999999907e-01 3.000000000000000000e+00
2.822299999999999809e-01 7.307299999999999907e-01 3.000000000000000000e+00
2.822299999999999809e-01 7.307299999999999907e-01 3.000000000000000000e+00
2.900300000000000100e-01 7.049299999999999455e-01 1.000000000000000000e+00
2.900300000000000100e-01 7.049299999999999455e-01 3.000000000000000000e+00
2.768800000000000150e-01 7.093000000000000416e-01 1.000000000000000000e+00
2.772000000000000020e-01 7.086299999999999821e-01 1.000000000000000000e+00
2.805300000000000016e-01 7.091300000000000381e-01 1.000000000000000000e+00
2.805300000000000016e-01 7.091300000000000381e-01 3.000000000000000000e+00
2.805300000000000016e-01 7.091300000000000381e-01 3.000000000000000000e+00
2.805300000000000016e-01 7.091300000000000381e-01 3.000000000000000000e+00
2.805300000000000016e-01 7.091300000000000381e-01 3.000000000000000000e+00
2.805300000000000016e-01 7.091300000000000381e-01 3.000000000000000000e+00
2.805300000000000016e-01 7.091300000000000381e-01 3.000000000000000000e+00
2.805300000000000016e-01 7.091300000000000381e-01 3.000000000000000000e+00
2.805300000000000016e-01 7.091300000000000381e-01 3.000000000000000000e+00
2.805300000000000016e-01 7.091300000000000381e-01 3.000000000000000000e+00
2.805300000000000016e-01 7.091300000000000381e-01 3.000000000000000000e+00
2.812500000000000000e-01 7.075599999999999667e-01 1.000000000000000000e+00
2.812500000000000000e-01 7.075599999999999667e-01 3.000000000000000000e+00
